,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0,CN_species1,CN_species2,CN_species3,CN1,CN2,CN3,CN_all
1,22,"[Element O, Element P, Element Ti, Element Zn]",TiZnP2O7,260.0792293777828,3.6676431384808725,Triclinic,6,2.0,4968.551,O,-,-,5,0,0,5
1,76,"[Element Br, Element O, Element S, Element Ti]",Ti4S8Br6O,2307.4719464652485,2.7156498485380807,Monoclinic,3,4.0,4976.489,Br,O,S,1,1,2,4
1,96,"[Element Cr, Element Li, Element O, Element Ti]",Li32Ti3Cr13O48,852.3406391022585,3.5255471075588622,Triclinic,6,NAN,4985.527,O,-,-,6,0,0,6
1,28,"[Element Cu, Element O, Element Ti]",Ti4Cu2O,374.99015413965583,5.92601100339371,Cubic,1,NAN,4971.373,O,-,-,3,0,0,3
1,94,"[Element N, Element O, Element Ti]",Ti17(NO4)6,1114.5033860165217,3.819495781175203,Monoclinic,3,3.8823529411764706,4981.971,N,O,-,1,5,0,6
1,56,"[Element Cr, Element La, Element O, Element Ti]",La2Ti2CrO9,706.1498523234816,5.357141472335259,Monoclinic,3,4.0,4981.62,O,-,-,6,0,0,6
1,36,"[Element Fe, Element O, Element P, Element Ti, Element V]",TiV2Fe3(PO4)6,447.89322110531305,3.2889224163048185,Trigonal,7,4.0,4981.02,O,-,-,6,0,0,6
1,77,"[Element Ba, Element Nb, Element O, Element Si, Element Ti]",Ba6Ti2Nb10Si8O51,1137.0797011646316,4.219566505652231,Triclinic,6,4.0,4968.566,O,-,-,5,0,0,5
1,5,"[Element Ba, Element O, Element Ti]",BaTiO3,67.97030671913357,5.696969318140277,Trigonal,7,4.0,4982.2,O,-,-,6,0,0,6
1,36,"[Element Cr, Element Ni, Element O, Element P, Element Ti]",Ti3CrNi2(PO4)6,443.04895683979026,3.3087628080555143,Trigonal,7,3.6666666666666665,4980.955,O,-,-,6,0,0,6
1,50,"[Element Al, Element La, Element O, Element Sr, Element Ti]",SrLa4TiAl4O15,565.6985397698102,6.099868295221855,Orthorhombic,4,4.0,4979.907,O,-,-,6,0,0,6
1,16,"[Element Fe, Element O, Element Ti]",TiFe2O5,189.53796913788756,4.197457332665323,Orthorhombic,4,4.0,4981.779,O,-,-,6,0,0,6
1,14,"[Element O, Element Ti, Element Zn]",Ti2ZnO4,158.35372198943213,4.721767838383659,Monoclinic,3,3.0,4987.364,O,-,-,6,0,0,6
1,26,"[Element O, Element Ti, Element Zn]",Ti5ZnO7,261.63830877485935,5.289842383267131,Orthorhombic,4,2.4,4986.52,O,-,-,6,0,0,6
1,162,"[Element La, Element O, Element S, Element Ti]",La20Ti11(S22O3)2,3451.331457316513,4.629916505719489,Orthorhombic,4,3.6363636363636362,4974.72,O,S,-,1,0,0,1
1,12,"[Element K, Element O, Element Ti]",K2TiO3,197.73054871191522,2.923538281318234,Orthorhombic,4,4.0,4970.175,O,-,-,5,0,0,5
1,14,"[Element Ca, Element O, Element Ti]",CaTi2O4,174.73544929991795,3.7976454428236015,Orthorhombic,4,3.0,4984.188,O,-,-,5,0,0,5
1,28,"[Element Co, Element Li, Element O, Element Sb, Element Ti]",Li4Ti2Co3Sb3O16,317.39547569776346,4.821428578156061,Monoclinic,3,3.5,4969.113,O,-,-,4,0,0,4
1,23,"[Element O, Element Ti]",Ti10O13,235.15536041122073,4.848834355288974,Monoclinic,3,2.6,4986.27,O,-,-,6,0,0,6
1,36,"[Element Ag, Element Mg, Element O, Element P, Element Ti]",MgTiAg(PO4)3,460.1333148527301,3.355874129502816,Trigonal,7,4.0,4979.32,O,-,-,6,0,0,6
1,11,"[Element O, Element S, Element Tb, Element Ti]",Tb2Ti2S2O5,166.87844101656583,5.549560777733024,Tetragonal,5,4.0,4969.253,O,-,-,5,0,0,5
1,18,"[Element O, Element Ti, Element Zn]",Ti2Zn2O5,212.60591572041034,4.788545797967107,Orthorhombic,4,3.0,4980.878,O,-,-,5,0,0,5
1,30,"[Element O, Element Ti]",Ti2O3,303.15430155556436,4.723791049912096,Monoclinic,3,3.0,4985.606,O,-,-,6,0,0,6
1,47,"[Element La, Element O, Element Si, Element Ti]",La4Ti9(Si2O15)2,565.8165262745332,4.633258358247903,Monoclinic,3,3.5555555555555554,4975.9,O,-,-,6,0,0,6
1,36,"[Element Cu, Element Ni, Element O, Element P, Element Ti]",Ti3CuNi2(PO4)6,441.04900897372227,3.3672515756312933,Trigonal,7,4.0,4981.499,O,-,-,6,0,0,6
1,10,"[Element Li, Element O, Element Ti, Element V]",LiTiV2O6,112.16198903411822,3.740993684486639,Monoclinic,3,4.0,4983.123,O,-,-,6,0,0,6
1,62,"[Element Li, Element O, Element Ti, Element V]",Li4TiV8O18,680.4086623797125,3.763997740426383,Triclinic,6,4.0,4981.346,O,-,-,6,0,0,6
1,30,"[Element Ca, Element O, Element P, Element Ti]",CaTi2(PO5)2,352.1700572160762,3.373731986164202,Orthorhombic,4,4.0,4977.383,O,-,-,3,0,0,3
1,88,"[Element Li, Element O, Element P, Element Ti]",LiTi(PO3)5,1252.4111102720576,2.384811017443308,Monoclinic,3,4.0,4980.195,O,-,-,6,0,0,6
1,15,"[Element Li, Element O, Element Ti, Element V]",Li3TiV3O8,159.91556499582194,3.629255862141069,Monoclinic,3,4.0,4985.303,O,-,-,2,0,0,2
1,28,"[Element Ba, Element O, Element Si, Element Ti]",BaTi(SiO3)3,387.65271594990054,3.542045244101585,Hexagonal,2,4.0,4979.546,O,-,-,6,0,0,6
1,56,"[Element Li, Element O, Element P, Element Ti]",LiTi2P2O9,688.8482276206762,2.9758124490477456,Orthorhombic,4,3.5,4980.516,O,-,-,6,0,0,6
1,22,"[Element Na, Element O, Element Ti]",NaTi8O13,245.87630761085575,4.146128454801764,Trigonal,7,3.125,4986.776,O,-,-,6,0,0,6
1,28,"[Element Li, Element Mn, Element O, Element Ti, Element V]",Li4Ti3Mn3V2O16,295.39440479483665,3.901567908772426,Monoclinic,3,4.0,4989.298,O,-,-,6,0,0,6
1,22,"[Element Co, Element Li, Element O, Element Ti]",Li4Ti3(CoO4)3,219.85903869814493,4.0796704599817675,Triclinic,6,4.0,4982.767,O,-,-,6,0,0,6
1,13,"[Element Ga, Element O, Element Ti]",Ti(GaO2)4,150.68499217807368,5.011362391097158,Monoclinic,3,4.0,4978.821,O,-,-,6,0,0,6
1,24,"[Element H, Element O, Element Ti]",Ti3H2O7,687.7255591028329,1.2440308686420756,Monoclinic,3,4.0,4969.251,H,O,-,1,1,0,2
1,20,"[Element Fe, Element La, Element Mg, Element O, Element Ti]",LaMgTiFeO6,229.75812945439387,5.245872722055797,Monoclinic,3,4.0,4981.762,O,-,-,6,0,0,6
1,34,"[Element Ba, Element O, Element Pt, Element Ti]",Ba4Ti2PtO10,529.2542053214205,6.275768007081661,Orthorhombic,4,4.0,4980.727,O,-,-,5,0,0,5
1,16,"[Element Mg, Element O, Element Ti]",MgTiO2,179.17535303170348,3.861684708329828,Monoclinic,3,2.0,4981.246,O,-,-,6,0,0,6
1,96,"[Element Cr, Element Li, Element O, Element Ti]",Li32Ti3Cr13O48,847.2453701149651,3.5467494787656224,Triclinic,6,NAN,4985.551,O,-,-,6,0,0,6
1,30,"[Element Ba, Element O, Element Ti]",BaTiO3,413.71457394759,5.615824672000201,Orthorhombic,4,4.0,4981.92,O,-,-,6,0,0,6
1,62,"[Element Li, Element Mn, Element O, Element Ti]",Li4Ti3Mn6O18,682.0578157625639,3.8417159455781666,Orthorhombic,4,4.0,4981.966,O,-,-,6,0,0,6
1,44,"[Element Ce, Element F, Element Na, Element Nb, Element O, Element Ti]",NaCeTiNbO6F,570.9568833028908,4.87291822743928,Tetragonal,5,4.0,4981.455,O,-,-,6,0,0,6
1,112,"[Element O, Element S, Element Ti]",TiSO5,1559.8970845247989,2.723957632977426,Orthorhombic,4,4.0,4979.86,O,-,-,6,0,0,6
1,44,"[Element Na, Element O, Element P, Element Ti]",NaTiP2O7,550.1517905339443,2.955548769495466,Monoclinic,3,3.0,4977.277,O,-,-,6,0,0,6
1,12,"[Element Cl, Element Eu, Element O, Element Ti]",EuTiClO3,191.27799725394905,4.9185077132793555,Monoclinic,3,4.0,4980.322,O,-,-,6,0,0,6
1,39,"[Element Al, Element Li, Element Na, Element O, Element P, Element Ti]",Na2Li3Ti3Al(PO4)6,475.0406824393602,2.821672255421056,Trigonal,7,3.3333333333333335,4979.312,O,-,-,6,0,0,6
1,44,"[Element Ca, Element O, Element Ti]",CaTi3O7,623.539279311162,3.149630278859662,Orthorhombic,4,4.0,4969.914,O,-,-,4,0,0,4
1,68,"[Element Fe, Element Na, Element O, Element Si, Element Ti]",Na2TiFe5(Si3O10)2,775.5793577350321,3.689306121423513,Triclinic,6,4.0,4983.992,O,-,-,6,0,0,6
1,44,"[Element F, Element Na, Element Nb, Element O, Element Ti, Element Y]",NaYTiNbO6F,557.8992694469334,4.377278344301259,Tetragonal,5,4.0,4981.885,O,-,-,6,0,0,6
1,10,"[Element Mn, Element O, Element Ti]",TiMnO3,111.67261982457812,4.484799874392682,Trigonal,7,4.0,4980.534,O,-,-,6,0,0,6
1,36,"[Element O, Element Ti]",TiO2,460.72488594034485,3.4542161600014927,Trigonal,7,4.0,4970.734,O,-,-,5,0,0,5
1,44,"[Element Na, Element O, Element Sb, Element Sm, Element Ti]",NaSm3Ti2(SbO7)2,565.249656958934,6.094661522657406,Monoclinic,3,4.0,4980.761,O,-,-,6,0,0,6
1,162,"[Element Ce, Element O, Element S, Element Ti]",Ce20Ti11(S22O3)2,3275.426892460906,4.903111045118206,Orthorhombic,4,3.6363636363636362,4974.571,O,S,-,1,0,0,1
1,40,"[Element Ca, Element O, Element P, Element Ti]",CaTi3P3O13,511.3470098665835,3.147313765278905,Monoclinic,3,3.0,4979.198,O,-,-,6,0,0,6
1,52,"[Element As, Element O, Element Ti, Element Zn]",Ti3Zn3(AsO4)4,673.2734156748049,4.4172861909807875,Monoclinic,3,4.0,4969.299,O,-,-,5,0,0,5
1,39,"[Element Li, Element O, Element Ti]",Li4Ti11O24,452.66872677644557,3.4419464783974925,Monoclinic,3,4.0,4984.334,O,-,-,6,0,0,6
1,60,"[Element Ba, Element Mn, Element O, Element Ti]",BaTi18Mn3O38,674.2811207843051,4.363191161222882,Trigonal,7,3.6666666666666665,4978.078,O,-,-,6,0,0,6
1,30,"[Element Al, Element O, Element Ti]",TiAlO3,314.0927201429986,3.89678191756439,Hexagonal,2,3.0,4982.22,O,-,-,5,0,0,5
1,50,"[Element Cs, Element O, Element Ti]",CsTi8O16,643.0244229120259,3.9863397927913398,Monoclinic,3,3.875,4987.288,O,-,-,6,0,0,6
1,42,"[Element O, Element Ti]",Ti10O11,424.9611770452614,5.116204455746564,Triclinic,6,2.2,4985.728,O,-,-,6,0,0,6
1,21,"[Element Ca, Element N, Element O, Element Ti]",Ca2Ti6N2O11,264.5416504999802,3.5864808232980416,Monoclinic,3,4.0,4981.309,N,O,-,3,2,0,4
1,14,"[Element Al, Element O, Element Ti]",Ti2AlO4,146.35124622399013,4.236990991545214,Cubic,1,2.5,4982.355,O,-,-,6,0,0,6
1,42,"[Element La, Element O, Element S, Element Ti]",La6Ti2S8O5,840.0493572746519,5.003795020389931,Monoclinic,3,4.0,4979.45,O,-,-,4,0,0,4
1,12,"[Element O, Element Ti]",TiO2,158.86183408097102,3.3392609276621124,Tetragonal,5,4.0,4982.34,O,-,-,6,0,0,6
1,34,"[Element O, Element Ti]",Ti6O11,398.5283410563941,3.8599716286655563,Monoclinic,3,3.6666666666666665,4981.776,O,-,-,6,0,0,6
1,86,"[Element Dy, Element O, Element Ti]",Dy10Ti6O27,1109.8355192884387,7.014754835760429,Monoclinic,3,4.0,4980.139,O,-,-,5,0,0,5
1,15,"[Element Li, Element O, Element Ti]",Li3Ti4O8,142.86525544002126,3.955185031748149,Monoclinic,3,3.25,4986.458,O,-,-,6,0,0,6
1,20,"[Element Cr, Element O, Element Ti]",TiCrO3,210.17019492034166,4.672964427676571,Orthorhombic,4,4.0,4983.565,O,-,-,6,0,0,6
1,70,"[Element Li, Element Mn, Element O, Element Ti]",Li5TiMn9O20,748.3844759363958,3.980594361241085,Triclinic,6,4.0,4985.734,O,-,-,6,0,0,6
1,32,"[Element H, Element O, Element P, Element Ti]",TiPHO5,352.53479009168746,3.0116747170192517,Monoclinic,3,4.0,4979.339,O,-,-,5,0,0,5
1,28,"[Element Li, Element Ni, Element O, Element Sn, Element Ti]",Li4Ti2Ni3Sn3O16,304.44013037572205,4.97277121825222,Monoclinic,3,4.0,4970.027,O,-,-,6,0,0,6
1,28,"[Element La, Element O, Element Si, Element Ti]",La2Ti2SiO9,357.22666778811663,5.072587025663828,Monoclinic,3,4.0,4984.452,O,-,-,6,0,0,6
1,36,"[Element Fe, Element O, Element P, Element Sb, Element Ti]",Ti3FeSb2(PO4)6,486.33531340476145,3.45807556172829,Trigonal,7,3.3333333333333335,4979.656,O,-,-,6,0,0,6
1,34,"[Element O, Element P, Element Te, Element Ti]",TiTe(PO4)3,484.7007638226836,3.154444241231956,Trigonal,7,3.0,4980.165,O,-,-,6,0,0,6
1,32,"[Element O, Element Ti, Element Y]",Y2TiO5,440.9856179681948,4.604108730511357,Orthorhombic,4,4.0,4969.317,O,-,-,5,0,0,5
1,10,"[Element Fe, Element O, Element Ti]",TiFeO3,108.99422840844166,4.622643116884464,Trigonal,7,4.0,4980.561,O,-,-,6,0,0,6
1,32,"[Element Gd, Element O, Element Ti]",Gd2TiO5,460.7557661056655,6.377024410126229,Monoclinic,3,4.0,4969.114,O,-,-,4,0,0,4
1,19,"[Element Ca, Element Mn, Element Nd, Element O, Element Ti]",CaNd2Ti2Mn2O12,224.18718149049886,5.378653414996472,Triclinic,6,4.0,4983.415,O,-,-,6,0,0,6
1,14,"[Element Ba, Element Mg, Element O, Element Ti]",BaMgTi4O8,189.45553239878666,4.216701151144236,Trigonal,7,3.0,4970.061,O,-,-,4,0,0,4
1,37,"[Element Al, Element Li, Element Na, Element O, Element P, Element Ti]",Na2LiTi3Al(PO4)6,465.49216020644315,2.8300315741040754,Triclinic,6,4.0,4980.418,O,-,-,6,0,0,6
1,36,"[Element O, Element P, Element Rb, Element Ti]",RbTi2(PO4)3,487.96329084326743,3.1723846461056735,Trigonal,7,4.0,4981.545,O,-,-,6,0,0,6
1,32,"[Element As, Element O, Element Ti, Element Zn]",TiZnAsO5,421.25803441723025,4.228739321098331,Orthorhombic,4,3.0,4977.984,O,-,-,6,0,0,6
1,40,"[Element As, Element O, Element Ti]",TiAs2O7,605.103623256361,3.399608821739666,Monoclinic,3,4.0,4968.304,O,-,-,5,0,0,5
1,42,"[Element O, Element Ti, Element Zn]",Ti2ZnO4,468.9412451978199,4.7833893002691505,Trigonal,7,3.0,4984.242,O,-,-,6,0,0,6
1,28,"[Element Fe, Element Li, Element O, Element Sb, Element Ti]",Li4Ti2Fe3Sb3O16,325.2866904658309,4.657169987051367,Monoclinic,3,3.5,4968.975,O,-,-,5,0,0,5
1,92,"[Element O, Element Ti]",Ti8O15,994.2658652293227,4.161440671933363,Triclinic,6,3.75,4987.089,O,-,-,6,0,0,6
1,10,"[Element F, Element K, Element Na, Element O, Element Ti]",K2NaTiOF5,152.04174636483316,2.8401049608420883,Tetragonal,5,4.0,4980.079,F,O,-,4,1,0,5
1,28,"[Element Co, Element Li, Element O, Element Ti]",Li2Ti3CoO8,298.0861273652824,3.837203510766064,Hexagonal,2,4.0,4987.435,O,-,-,6,0,0,6
1,76,"[Element Li, Element Mn, Element O, Element P, Element Ti]",Li8TiMn7(PO4)12,906.3994519806337,2.9818229248230543,Triclinic,6,4.0,4975.268,O,-,-,6,0,0,6
1,36,"[Element Co, Element Ni, Element O, Element P, Element Ti]",Ti3Co2Ni(PO4)6,445.1745622633751,3.3197346430943213,Trigonal,7,4.0,4981.507,O,-,-,6,0,0,6
1,40,"[Element Al, Element O, Element Ti]",Ti3AlO6,444.7497358049112,3.981247871780521,Trigonal,7,3.0,4983.208,O,-,-,6,0,0,6
1,20,"[Element Ca, Element Ir, Element O, Element Ti]",Ca2TiIrO6,232.61629709108954,5.942634292715956,Monoclinic,3,4.0,4983.534,O,-,-,6,0,0,6
1,24,"[Element O, Element P, Element Sr, Element Ti]",SrTi(PO4)2,330.97635464900867,3.2654221601509406,Triclinic,6,4.0,4977.497,O,-,-,5,0,0,5
1,16,"[Element Cr, Element Li, Element O, Element Ti]",Li4TiCr3O8,147.95390504802774,4.036080807777503,Trigonal,7,3.0,4982.371,O,-,-,6,0,0,6
1,152,"[Element O, Element P, Element Rb, Element Ti, Element Yb]",Rb16Yb3Ti13(PO4)24,2098.257030649942,3.789323137756736,Triclinic,6,3.6153846153846154,4978.563,O,-,-,6,0,0,6
1,38,"[Element K, Element O, Element Ti]",KTi6O12,473.5321648715741,3.6350051403415784,Tetragonal,5,3.8333333333333335,4985.382,O,-,-,6,0,0,6
1,36,"[Element Ag, Element O, Element P, Element Ti, Element Zn]",TiZnAg(PO4)3,463.08062581809185,3.629301221289206,Trigonal,7,4.0,4979.776,O,-,-,6,0,0,6
1,62,"[Element Li, Element O, Element Ti, Element V]",Li4Ti2V7O18,679.4121193748164,3.754490007558389,Orthorhombic,4,4.0,4984.12,O,-,-,6,0,0,6
1,22,"[Element O, Element P, Element Ti, Element Zn]",TiZnP2O7,260.0792293777828,3.6676431384808725,Triclinic,6,2.0,4968.551,O,-,-,5,0,0,5
1,76,"[Element Br, Element O, Element S, Element Ti]",Ti4S8Br6O,2307.4719464652485,2.7156498485380807,Monoclinic,3,4.0,4976.489,Br,O,S,1,1,2,4
1,96,"[Element Cr, Element Li, Element O, Element Ti]",Li32Ti3Cr13O48,852.3406391022585,3.5255471075588622,Triclinic,6,NAN,4985.527,O,-,-,6,0,0,6
1,28,"[Element Cu, Element O, Element Ti]",Ti4Cu2O,374.99015413965583,5.92601100339371,Cubic,1,NAN,4971.373,O,-,-,3,0,0,3
1,94,"[Element N, Element O, Element Ti]",Ti17(NO4)6,1114.5033860165217,3.819495781175203,Monoclinic,3,3.8823529411764706,4981.971,N,O,-,1,5,0,6
1,56,"[Element Cr, Element La, Element O, Element Ti]",La2Ti2CrO9,706.1498523234816,5.357141472335259,Monoclinic,3,4.0,4981.62,O,-,-,6,0,0,6
1,36,"[Element Fe, Element O, Element P, Element Ti, Element V]",TiV2Fe3(PO4)6,447.89322110531305,3.2889224163048185,Trigonal,7,4.0,4981.02,O,-,-,6,0,0,6
1,77,"[Element Ba, Element Nb, Element O, Element Si, Element Ti]",Ba6Ti2Nb10Si8O51,1137.0797011646316,4.219566505652231,Triclinic,6,4.0,4968.566,O,-,-,5,0,0,5
1,5,"[Element Ba, Element O, Element Ti]",BaTiO3,67.97030671913357,5.696969318140277,Trigonal,7,4.0,4982.2,O,-,-,6,0,0,6
1,36,"[Element Cr, Element Ni, Element O, Element P, Element Ti]",Ti3CrNi2(PO4)6,443.04895683979026,3.3087628080555143,Trigonal,7,3.6666666666666665,4980.955,O,-,-,6,0,0,6
1,50,"[Element Al, Element La, Element O, Element Sr, Element Ti]",SrLa4TiAl4O15,565.6985397698102,6.099868295221855,Orthorhombic,4,4.0,4979.907,O,-,-,6,0,0,6
1,16,"[Element Fe, Element O, Element Ti]",TiFe2O5,189.53796913788756,4.197457332665323,Orthorhombic,4,4.0,4981.779,O,-,-,6,0,0,6
1,14,"[Element O, Element Ti, Element Zn]",Ti2ZnO4,158.35372198943213,4.721767838383659,Monoclinic,3,3.0,4987.364,O,-,-,6,0,0,6
1,26,"[Element O, Element Ti, Element Zn]",Ti5ZnO7,261.63830877485935,5.289842383267131,Orthorhombic,4,2.4,4986.52,O,-,-,6,0,0,6
1,162,"[Element La, Element O, Element S, Element Ti]",La20Ti11(S22O3)2,3451.331457316513,4.629916505719489,Orthorhombic,4,3.6363636363636362,4974.72,O,S,-,1,0,0,1
1,12,"[Element K, Element O, Element Ti]",K2TiO3,197.73054871191522,2.923538281318234,Orthorhombic,4,4.0,4970.175,O,-,-,5,0,0,5
1,14,"[Element Ca, Element O, Element Ti]",CaTi2O4,174.73544929991795,3.7976454428236015,Orthorhombic,4,3.0,4984.188,O,-,-,5,0,0,5
1,28,"[Element Co, Element Li, Element O, Element Sb, Element Ti]",Li4Ti2Co3Sb3O16,317.39547569776346,4.821428578156061,Monoclinic,3,3.5,4969.113,O,-,-,4,0,0,4
1,23,"[Element O, Element Ti]",Ti10O13,235.15536041122073,4.848834355288974,Monoclinic,3,2.6,4986.27,O,-,-,6,0,0,6
1,36,"[Element Ag, Element Mg, Element O, Element P, Element Ti]",MgTiAg(PO4)3,460.1333148527301,3.355874129502816,Trigonal,7,4.0,4979.32,O,-,-,6,0,0,6
1,11,"[Element O, Element S, Element Tb, Element Ti]",Tb2Ti2S2O5,166.87844101656583,5.549560777733024,Tetragonal,5,4.0,4969.253,O,-,-,5,0,0,5
1,18,"[Element O, Element Ti, Element Zn]",Ti2Zn2O5,212.60591572041034,4.788545797967107,Orthorhombic,4,3.0,4980.878,O,-,-,5,0,0,5
1,30,"[Element O, Element Ti]",Ti2O3,303.15430155556436,4.723791049912096,Monoclinic,3,3.0,4985.606,O,-,-,6,0,0,6
1,47,"[Element La, Element O, Element Si, Element Ti]",La4Ti9(Si2O15)2,565.8165262745332,4.633258358247903,Monoclinic,3,3.5555555555555554,4975.9,O,-,-,6,0,0,6
1,36,"[Element Cu, Element Ni, Element O, Element P, Element Ti]",Ti3CuNi2(PO4)6,441.04900897372227,3.3672515756312933,Trigonal,7,4.0,4981.499,O,-,-,6,0,0,6
1,10,"[Element Li, Element O, Element Ti, Element V]",LiTiV2O6,112.16198903411822,3.740993684486639,Monoclinic,3,4.0,4983.123,O,-,-,6,0,0,6
1,62,"[Element Li, Element O, Element Ti, Element V]",Li4TiV8O18,680.4086623797125,3.763997740426383,Triclinic,6,4.0,4981.346,O,-,-,6,0,0,6
1,30,"[Element Ca, Element O, Element P, Element Ti]",CaTi2(PO5)2,352.1700572160762,3.373731986164202,Orthorhombic,4,4.0,4977.383,O,-,-,3,0,0,3
1,88,"[Element Li, Element O, Element P, Element Ti]",LiTi(PO3)5,1252.4111102720576,2.384811017443308,Monoclinic,3,4.0,4980.195,O,-,-,6,0,0,6
1,15,"[Element Li, Element O, Element Ti, Element V]",Li3TiV3O8,159.91556499582194,3.629255862141069,Monoclinic,3,4.0,4985.303,O,-,-,2,0,0,2
1,28,"[Element Ba, Element O, Element Si, Element Ti]",BaTi(SiO3)3,387.65271594990054,3.542045244101585,Hexagonal,2,4.0,4979.546,O,-,-,6,0,0,6
1,56,"[Element Li, Element O, Element P, Element Ti]",LiTi2P2O9,688.8482276206762,2.9758124490477456,Orthorhombic,4,3.5,4980.516,O,-,-,6,0,0,6
1,22,"[Element Na, Element O, Element Ti]",NaTi8O13,245.87630761085575,4.146128454801764,Trigonal,7,3.125,4986.776,O,-,-,6,0,0,6
1,28,"[Element Li, Element Mn, Element O, Element Ti, Element V]",Li4Ti3Mn3V2O16,295.39440479483665,3.901567908772426,Monoclinic,3,4.0,4989.298,O,-,-,6,0,0,6
1,22,"[Element Co, Element Li, Element O, Element Ti]",Li4Ti3(CoO4)3,219.85903869814493,4.0796704599817675,Triclinic,6,4.0,4982.767,O,-,-,6,0,0,6
1,13,"[Element Ga, Element O, Element Ti]",Ti(GaO2)4,150.68499217807368,5.011362391097158,Monoclinic,3,4.0,4978.821,O,-,-,6,0,0,6
1,24,"[Element H, Element O, Element Ti]",Ti3H2O7,687.7255591028329,1.2440308686420756,Monoclinic,3,4.0,4969.251,H,O,-,1,1,0,2
1,20,"[Element Fe, Element La, Element Mg, Element O, Element Ti]",LaMgTiFeO6,229.75812945439387,5.245872722055797,Monoclinic,3,4.0,4981.762,O,-,-,6,0,0,6
1,34,"[Element Ba, Element O, Element Pt, Element Ti]",Ba4Ti2PtO10,529.2542053214205,6.275768007081661,Orthorhombic,4,4.0,4980.727,O,-,-,5,0,0,5
1,16,"[Element Mg, Element O, Element Ti]",MgTiO2,179.17535303170348,3.861684708329828,Monoclinic,3,2.0,4981.246,O,-,-,6,0,0,6
1,96,"[Element Cr, Element Li, Element O, Element Ti]",Li32Ti3Cr13O48,847.2453701149651,3.5467494787656224,Triclinic,6,NAN,4985.551,O,-,-,6,0,0,6
1,30,"[Element Ba, Element O, Element Ti]",BaTiO3,413.71457394759,5.615824672000201,Orthorhombic,4,4.0,4981.92,O,-,-,6,0,0,6
1,62,"[Element Li, Element Mn, Element O, Element Ti]",Li4Ti3Mn6O18,682.0578157625639,3.8417159455781666,Orthorhombic,4,4.0,4981.966,O,-,-,6,0,0,6
1,44,"[Element Ce, Element F, Element Na, Element Nb, Element O, Element Ti]",NaCeTiNbO6F,570.9568833028908,4.87291822743928,Tetragonal,5,4.0,4981.455,O,-,-,6,0,0,6
1,112,"[Element O, Element S, Element Ti]",TiSO5,1559.8970845247989,2.723957632977426,Orthorhombic,4,4.0,4979.86,O,-,-,6,0,0,6
1,44,"[Element Na, Element O, Element P, Element Ti]",NaTiP2O7,550.1517905339443,2.955548769495466,Monoclinic,3,3.0,4977.277,O,-,-,6,0,0,6
1,12,"[Element Cl, Element Eu, Element O, Element Ti]",EuTiClO3,191.27799725394905,4.9185077132793555,Monoclinic,3,4.0,4980.322,O,-,-,6,0,0,6
1,39,"[Element Al, Element Li, Element Na, Element O, Element P, Element Ti]",Na2Li3Ti3Al(PO4)6,475.0406824393602,2.821672255421056,Trigonal,7,3.3333333333333335,4979.312,O,-,-,6,0,0,6
1,44,"[Element Ca, Element O, Element Ti]",CaTi3O7,623.539279311162,3.149630278859662,Orthorhombic,4,4.0,4969.914,O,-,-,4,0,0,4
1,68,"[Element Fe, Element Na, Element O, Element Si, Element Ti]",Na2TiFe5(Si3O10)2,775.5793577350321,3.689306121423513,Triclinic,6,4.0,4983.992,O,-,-,6,0,0,6
1,44,"[Element F, Element Na, Element Nb, Element O, Element Ti, Element Y]",NaYTiNbO6F,557.8992694469334,4.377278344301259,Tetragonal,5,4.0,4981.885,O,-,-,6,0,0,6
1,10,"[Element Mn, Element O, Element Ti]",TiMnO3,111.67261982457812,4.484799874392682,Trigonal,7,4.0,4980.534,O,-,-,6,0,0,6
1,36,"[Element O, Element Ti]",TiO2,460.72488594034485,3.4542161600014927,Trigonal,7,4.0,4970.734,O,-,-,5,0,0,5
1,44,"[Element Na, Element O, Element Sb, Element Sm, Element Ti]",NaSm3Ti2(SbO7)2,565.249656958934,6.094661522657406,Monoclinic,3,4.0,4980.761,O,-,-,6,0,0,6
1,162,"[Element Ce, Element O, Element S, Element Ti]",Ce20Ti11(S22O3)2,3275.426892460906,4.903111045118206,Orthorhombic,4,3.6363636363636362,4974.571,O,S,-,1,0,0,1
1,40,"[Element Ca, Element O, Element P, Element Ti]",CaTi3P3O13,511.3470098665835,3.147313765278905,Monoclinic,3,3.0,4979.198,O,-,-,6,0,0,6
1,52,"[Element As, Element O, Element Ti, Element Zn]",Ti3Zn3(AsO4)4,673.2734156748049,4.4172861909807875,Monoclinic,3,4.0,4969.299,O,-,-,5,0,0,5
1,39,"[Element Li, Element O, Element Ti]",Li4Ti11O24,452.66872677644557,3.4419464783974925,Monoclinic,3,4.0,4984.334,O,-,-,6,0,0,6
1,60,"[Element Ba, Element Mn, Element O, Element Ti]",BaTi18Mn3O38,674.2811207843051,4.363191161222882,Trigonal,7,3.6666666666666665,4978.078,O,-,-,6,0,0,6
1,30,"[Element Al, Element O, Element Ti]",TiAlO3,314.0927201429986,3.89678191756439,Hexagonal,2,3.0,4982.22,O,-,-,5,0,0,5
1,50,"[Element Cs, Element O, Element Ti]",CsTi8O16,643.0244229120259,3.9863397927913398,Monoclinic,3,3.875,4987.288,O,-,-,6,0,0,6
